S,X1,X2,Y
1,a,a,11.86733963
1,a,b,15.45374541
1,b,a,15.78241512
1,b,b,13.62655371
2,a,a,11.60819525
2,a,b,19.54067388
2,b,a,15.87882864
2,b,b,16.65461075
3,a,a,17.37024508
3,a,b,17.54702528
3,b,a,19.42310916
3,b,b,16.36914688
4,a,a,22.89662721
4,a,b,14.03750357
4,b,a,15.56412977
4,b,b,16.1092814
5,a,a,7.028035828
5,a,b,21.50805896
5,b,a,17.64425718
5,b,b,16.05499877
6,a,a,4.538800271
6,a,b,18.26959487
6,b,a,11.32772138
6,b,b,16.42941146
7,a,a,12.28164768
7,a,b,19.89735959
7,b,a,16.48864331
7,b,b,16.37162013
8,a,a,17.998659
8,a,b,15.90152096
8,b,a,12.88297857
8,b,b,15.77604212
9,a,a,7.221306575
9,a,b,21.70859493
9,b,a,8.717717033
9,b,b,16.4366187
10,a,a,11.82448347
10,a,b,22.01722679
10,b,a,11.9596529
10,b,b,15.54209664
11,a,a,13.60197109
11,a,b,19.5586002
11,b,a,13.53123776
11,b,b,16.00839431
12,a,a,11.4310005
12,a,b,22.98694645
12,b,a,14.17400762
12,b,b,17.28226446
13,a,a,15.73435377
13,a,b,12.44503452
13,b,a,16.64143539
13,b,b,11.4833595
14,a,a,14.79076104
14,a,b,14.05452331
14,b,a,10.22733912
14,b,b,13.45426901
15,a,a,18.91580595
15,a,b,12.86888971
15,b,a,13.54287519
15,b,b,11.72046353
