S,X1,X2,Y
1,a,a,2
1,a,b,0
1,b,a,7
1,b,b,0
2,a,a,5
2,a,b,0
2,b,a,0
2,b,b,0
3,a,a,5
3,a,b,0
3,b,a,3
3,b,b,0
4,a,a,3
4,a,b,4
4,b,a,2
4,b,b,4
5,a,a,9
5,a,b,5
5,b,a,5
5,b,b,0
6,a,a,0
6,a,b,7
6,b,a,4
6,b,b,2
7,a,a,6
7,a,b,2
7,b,a,0
7,b,b,3
8,a,a,6
8,a,b,9
8,b,a,5
8,b,b,0
9,a,a,0
9,a,b,6
9,b,a,2
9,b,b,0
10,a,a,0
10,a,b,5
10,b,a,3
10,b,b,9
11,a,a,7
11,a,b,7
11,b,a,4
11,b,b,5
12,a,a,9
12,a,b,0
12,b,a,6
12,b,b,7
13,a,a,10
13,a,b,6
13,b,a,3
13,b,b,0
14,a,a,10
14,a,b,6
14,b,a,2
14,b,b,0
15,a,a,7
15,a,b,3
15,b,a,5
15,b,b,0
